0.4699998, -0.03857416, 0.0005065671, 6.780128, 0, 0.00163115996326835196816, 40059.71, -1626.593, -2.423912, 0.004900447, 0.07899015, 323.2384, 1.452559, 1.160977, 2.509531
 
0.4799998, -0.04598234, 0.0001208255, 6.767004, 0, 0.0020069387207309643800, 39992.46, -1625.152, -2.423912, 0.004900447, 0.07899015, 323.0352, 1.452282, 1.160977, 2.509531
 
0.4899998, -0.05193273, -0.0003389979, 6.753553, 0, 0.0023290334084655799755, 39925.36, -1623.627, -2.423912, 0.004900447, 0.07899015, 322.8323, 1.452006, 1.160977, 2.509531
 
0.4999998, -0.05629563, -0.0008583252, 6.739786, 0, 0.00258948595125806059272, 39858.42, -1622.019, -2.423912, 0.004900447, 0.07899015, 322.6297, 1.451732, 1.160977, 2.509531
 
0.5099998, -0.05898153, -0.001421281, 6.725696, 0, 0.0027818984028370764662080207, 39791.65, -1620.328, -2.423912, 0.004900447, 0.07899015, 322.4274, 1.451459, 1.160977, 2.509531
 
0.5199998, -0.06000114, -0.002011097, 6.711286, 0, 0.0029041657841718641133169847, 39725.1, -1618.552, -2.423912, 0.004900447, 0.07899015, 322.2257, 1.451187, 1.160977, 2.509531
 
0.5299998, -0.05934893, -0.002611108, 6.696569, 0, 0.0029534716451080872922804643, 39658.73, -1616.694, -2.423912, 0.004900447, 0.07899015, 322.0243, 1.450917, 1.160977, 2.509531
 
0.5399998, -0.05712138, -0.003204597, 6.681516, 0, 0.0029315539999445855272562594, 39592.49, -1614.75, -2.423912, 0.004900447, 0.07899015, 321.8232, 1.450648, 1.160977, 2.509531
 
0.5499998, -0.05342409, -0.003775811, 6.666144, 0, 0.00284070337287946495059, 39526.44, -1612.72, -2.423912, 0.004900447, 0.07899015, 321.6224, 1.450379, 1.160977, 2.509531
 
0.5599998, -0.04841902, -0.004310052, 6.650441, 0, 0.00268591297321819609566, 39460.53, -1610.604, -2.423912, 0.004900447, 0.07899015, 321.422, 1.450112, 1.160977, 2.509531
 
0.5699998, -0.04226675, -0.004794243, 6.634407, 0, 0.00247238324539638438799, 39394.78, -1608.4, -2.423912, 0.004900447, 0.07899015, 321.2218, 1.449846, 1.160977, 2.509531
 
0.5799997, -0.03517237, -0.00521691, 6.618043, 0, 0.00220758643000566144594, 39329.19, -1606.109, -2.423912, 0.004900447, 0.07899015, 321.0219, 1.449581, 1.160977, 2.509531
 
0.5899997, -0.02737246, -0.005568634, 6.601343, 0, 0.00190075859206731945136, 39263.75, -1603.729, -2.423912, 0.004900447, 0.07899015, 320.8224, 1.449316, 1.160977, 2.509531
 
0.5999997, -0.01905655, -0.005842358, 6.584312, 0, 0.00155939384774258036775, 39198.48, -1601.26, -2.423912, 0.004900447, 0.07899015, 320.6232, 1.449051, 1.160977, 2.509531
 
0.6099997, -0.01049437, -0.006032924, 6.566943, 0, 0.00119495207227687539814, 39133.36, -1598.701, -2.423912, 0.004900447, 0.07899015, 320.4243, 1.448788, 1.160977, 2.509531
 
0.6199997, -0.00192183, -0.006137867, 6.549234, 0, 0.000817802290472929825839, 39068.32, -1596.052, -2.423912, 0.004900447, 0.07899015, 320.2253, 1.448524, 1.160977, 2.509531
 
0.6299997, 0.006457928, -0.006157086, 6.531168, 0, 0.000437201734779720719676, 39003.45, -1593.308, -2.423912, 0.004900447, 0.07899015, 320.0267, 1.44826, 1.160977, 2.509531
 
0.6399997, 0.01442891, -0.006092506, 6.512761, 0, 0.0000633441698485440161733, 38938.73, -1590.473, -2.423912, 0.004900447, 0.07899015, 319.8285, 1.447997, 1.160977, 2.509531
 
0.6499997, 0.02179084, -0.005948218, 6.494017, 0, -0.000293941198988714117776, 38874.16, -1587.546, -2.423912, 0.004900447, 0.07899015, 319.6305, 1.447729, 1.160977, 2.509531
 
0.6599997, 0.02838833, -0.005730309, 6.474927, 0, -0.000626558828659909347150, 38809.76, -1584.525, -2.423912, 0.004900447, 0.07899015, 319.4328, 1.447461, 1.160977, 2.509531
 
0.6699997, 0.03407908, -0.005446426, 6.455496, 0, -0.000926745330604055855022, 38745.5, -1581.413, -2.423912, 0.004900447, 0.07899015, 319.2354, 1.447194, 1.160977, 2.509531
 
0.6799996, 0.0387428, -0.005105635, 6.435722, 0, -0.00118751535824618152820, 38681.41, -1578.206, -2.423912, 0.004900447, 0.07899015, 319.0384, 1.446928, 1.160977, 2.509531
 
0.6899996, 0.0422847, -0.004718207, 6.415602, 0, -0.00140286940805503779868, 38617.46, -1574.906, -2.423912, 0.004900447, 0.07899015, 318.8416, 1.446663, 1.160977, 2.509531
 
0.6999996, 0.04465765, -0.00429536, 6.395133, 0, -0.00156886564782986922716, 38553.61, -1571.511, -2.423912, 0.004900447, 0.07899015, 318.6449, 1.446398, 1.160977, 2.509531
 
0.7099996, 0.04583909, -0.003848783, 6.37429, 0, -0.00168263189000894071235, 38489.9, -1568.014, -2.423912, 0.004900447, 0.07899015, 318.4485, 1.446134, 1.160977, 2.509531
 
0.7199996, 0.04584119, -0.003390393, 6.353096, 0, -0.00174287683383024164169, 38426.34, -1564.422, -2.423912, 0.004900447, 0.07899015, 318.2523, 1.445871, 1.160977, 2.509531
 
0.7299996, 0.04468854, -0.002931981, 6.331557, 0, -0.00174891635430255618075, 38362.93, -1560.734, -2.423912, 0.004900447, 0.07899015, 318.0565, 1.445608, 1.160977, 2.509531
 
0.7399996, 0.04246358, -0.002485095, 6.309657, 0, -0.00170283952792847620221, 38299.61, -1556.948, -2.423912, 0.004900447, 0.07899015, 317.8607, 1.445346, 1.160977, 2.509531
 
0.7499996, 0.03924783, -0.002060459, 6.287381, 0, -0.0016068243845454913419, 38236.43, -1553.058, -2.423912, 0.004900447, 0.07899015, 317.6652, 1.445084, 1.160977, 2.509531
 
0.7599996, 0.03514328, -0.001667981, 6.264751, 0, -0.00146415349902626229172, 38173.41, -1549.071, -2.423912, 0.004900447, 0.07899015, 317.47, 1.444823, 1.160977, 2.509531
 
0.7699996, 0.03030214, -0.001316548, 6.241764, 0, -0.00128067100017515167516, 38110.47, -1544.985, -2.423912, 0.004900447, 0.07899015, 317.2748, 1.444562, 1.160977, 2.509531
 
0.7799996, 0.0248545, -0.001013527, 6.218388, 0, -0.001061424580850350030578, 38047.67, -1540.792, -2.423912, 0.004900447, 0.07899015, 317.0799, 1.444301, 1.160977, 2.509531
 
0.7899995, 0.01896138, -0.0007649819, 6.194664, 0, -0.0008131529882077563720919748, 37985.03, -1536.502, -2.423912, 0.004900447, 0.07899015, 316.8853, 1.444041, 1.160977, 2.509531
 
0.7999995, 0.0127572, -0.0005753682, 6.170575, 0, -0.000541604474200585650337, 37922.54, -1532.109, -2.423912, 0.004900447, 0.07899015, 316.6909, 1.44378, 1.160977, 2.509531
 
0.8099995, 0.006431524, -0.0004477962, 6.146123, 0, -0.000255393598617775896165, 37860.12, -1527.616, -2.423912, 0.004900447, 0.07899015, 316.4966, 1.443521, 1.160977, 2.509531
 
0.8199995, 0.0001082173, -0.000383481, 6.121281, 0, 0.0000397010412765493837515, 37797.86, -1523.013, -2.423912, 0.004900447, 0.07899015, 316.3026, 1.44326, 1.160977, 2.509531
 
0.8299995, -0.006046247, -0.0003823988, 6.096081, 0, 0.0003356411752558385420500061, 37735.75, -1518.31, -2.423912, 0.004900447, 0.07899015, 316.1089, 1.442999, 1.160977, 2.509531
 
0.8399995, -0.01187381, -0.0004428613, 6.070509, 0, 0.00062451398037223129168, 37673.7, -1513.503, -2.423912, 0.004900447, 0.07899015, 315.9152, 1.442739, 1.160977, 2.509531
 
0.8499995, -0.01729239, -0.0005615994, 6.044548, 0, 0.000901814243367411708941, 37611.81, -1508.585, -2.423912, 0.004900447, 0.07899015, 315.7218, 1.442478, 1.160977, 2.509531
 
0.8599995, -0.02216233, -0.0007345233, 6.018214, 0, 0.00116010877008824346186, 37549.99, -1503.564, -2.423912, 0.004900447, 0.07899015, 315.5284, 1.442219, 1.160977, 2.509531
 
0.8699995, -0.02638298, -0.0009561466, 5.991483, 0, 0.0013936283390855394335, 37488.32, -1498.431, -2.423912, 0.004900447, 0.07899015, 315.3352, 1.441959, 1.160977, 2.509531
 
0.8799995, -0.02988673, -0.001219976, 5.964393, 0, 0.00159804384876019452657, 37426.8, -1493.194, -2.423912, 0.004900447, 0.07899015, 315.1424, 1.4417, 1.160977, 2.509531
 
0.8899994, -0.03258786, -0.001518844, 5.936917, 0, 0.00176804064232206290906, 37365.35, -1487.849, -2.423912, 0.004900447, 0.07899015, 314.9496, 1.441441, 1.160977, 2.509531
 
